"","A","B"
"1",-0.109201424235733,0.0927168193250849
"2",-0.122120649232172,0.133215048866558
"3",-0.0855580251499514,0.166519355107653
"4",-0.104361057555374,0.136313456357474
"5",-0.0703894355157198,0.158327099409064
"6",-0.0403560416708608,0.140277198834901
"7",-0.0798361664985324,0.145234877173025
"8",-0.083317437592412,0.160716632662044
"9",-0.109016776828968,0.181700889073788
"10",-0.0826903141673517,0.153685471410551
"11",-0.071239483281158,0.189869047157864
"12",-0.11456598289576,0.152155580282208
"13",-0.118049202347639,0.148313343493354
"14",-0.141136875894608,0.115858024225074
"15",-0.179493886234933,0.144946542379667
"16",-0.198319949630792,0.101770287285581
"17",-0.225127071981295,0.0395784695203252
"18",-0.248604994785343,0.0681433428636722
"19",-0.255975250882405,0.00569972900901926
"20",-0.28663655464357,0.0417867985028444
"21",-0.27478997737454,0.04368933286377
"22",-0.290083904266719,0.00489655321981456
"23",-0.283983031329945,0.0130982956008991
"24",-0.272520347119541,-0.00610379506649738
"25",-0.292443325531641,0.0330704324033181
"26",-0.273907381467944,0.00751248021711726
"27",-0.237573907824332,0.023617651609702
"28",-0.268048216738526,0.0100770750617548
"29",-0.243913489366908,0.0140942561073732
"30",-0.247123746622308,0.0243710244922288
"31",-0.247598685213981,0.024051678014432
"32",-0.25745220945237,-0.00354816763160018
"33",-0.250055977396569,-0.0207858966917343
"34",-0.298408501399262,-0.0112507118714204
"35",-0.291529607213265,-0.043796943253217
"36",-0.315539626652163,-0.0339354318854255
"37",-0.306864734890005,-0.0620496053908124
"38",-0.341698361155025,-0.0872533740214263
"39",-0.320122894380349,-0.0390565593968043
"40",-0.335272889967667,-0.0508208937488273
"41",-0.307487879002971,-0.0318815392542957
"42",-0.28576104491707,-0.0230518711872139
"43",-0.296771353456936,-0.0313085147441207
"44",-0.25294660520532,-0.00263207286070291
"45",-0.278573565461016,-0.00709058832858771
"46",-0.278144676461774,-0.001921026323059
"47",-0.261606937568285,0.00985615459056416
"48",-0.274769276267304,0.0363668929019451
"49",-0.309764185223814,0.0018760357098556
"50",-0.321167380673078,-0.0260746739932748
"51",-0.314224811075804,-0.0245285714407416
"52",-0.300602628927649,-0.0234790093362775
"53",-0.310115905610452,-0.0103871620613643
"54",-0.346743974666335,-0.0218154259867828
"55",-0.290537109032459,-0.00740298346926725
"56",-0.35148433531072,-0.0216124049303291
"57",-0.332736452983126,0.0136976647206558
"58",-0.300828404451464,0.035069213843666
"59",-0.297831588028056,0.0449438842209418
"60",-0.258214220251696,0.0344068104019848
"61",-0.261797443702038,0.00306657100966509
"62",-0.252342582183416,0.027970841945441
"63",-0.271466517506749,0.0328919703619618
"64",-0.280003741973969,0.0340765907951914
"65",-0.225925300448605,0.00370099086788047
"66",-0.289779391960592,0.0459260277058844
"67",-0.295729657871426,0.0432592979826581
"68",-0.288330218379672,0.012329156420402
"69",-0.312785886915993,0.00217709282882234
"70",-0.301580214006752,-0.0366057897251406
"71",-0.280481161383141,-0.0213926868244127
"72",-0.333782281472301,-0.0684512860657231
"73",-0.345543754911567,-0.0601879138535043
"74",-0.368905593905017,-0.0881098724283643
"75",-0.353116323626524,-0.0985345496382089
"76",-0.379054040147508,-0.0873587288472831
"77",-0.356508776964238,-0.100261010349669
"78",-0.343530769428352,-0.0921680731506947
"79",-0.42611159689349,-0.0743514189586585
"80",-0.439167350186238,-0.0649499928358412
"81",-0.426242888896508,-0.0174581867349041
"82",-0.395170369524933,-0.0957609444017507
"83",-0.364958703549926,-0.0120288785028755
"84",-0.326839753308427,-0.026680573490168
"85",-0.340242399080464,-0.00114137652036293
"86",-0.320167810665177,0.0587256238810562
"87",-0.321525786230292,-0.023605481028065
"88",-0.332215328196304,0.0125181219356944
"89",-0.329347844625988,0.0465011529529685
"90",-0.269399111987318,0.00168398318465415
"91",-0.317372718365941,0.00611557372398126
"92",-0.283995049450366,-0.0172247161946598
"93",-0.340333194530488,-0.0381666716598979
"94",-0.307330470575035,0.00076990476926236
"95",-0.348883716446795,-0.00344349597319633
"96",-0.322014626255089,-0.0343297410230554
"97",-0.305586000473348,-0.00709414636533311
"98",-0.296796296996463,-0.00402367476283482
"99",-0.302100305962802,0.0121151930947754
"100",-0.27064855780816,-0.0211043361017234
"101",-0.307290525209727,-0.0238808206514628
"102",-0.332638772068886,-0.00311741603598392
"103",-0.247797124323291,0.0188629066880642
"104",-0.28178583599215,0.0285597678344809
"105",-0.268975785281904,0.00514566654792548
"106",-0.251390842255983,0.0287589897711235
"107",-0.253395090934719,0.0670935687159045
"108",-0.232385016472465,0.0477619475061763
"109",-0.261681322505517,0.0410076738311525
"110",-0.229685457191983,0.0681177694833872
"111",-0.234824208539729,0.0637730568768648
"112",-0.199840945792963,0.0825954344718189
"113",-0.240128380767608,0.0812685470511569
"114",-0.162654139740968,0.0702556968603861
"115",-0.194194728898199,0.109834745199001
"116",-0.207079857425591,0.0890009343450517
"117",-0.230998236685563,0.0775780279378934
"118",-0.214149167417168,0.0924514743925945
"119",-0.244851708981873,0.089004696398532
"120",-0.260189327895541,0.0724291589580835
"121",-0.270451430712765,0.0938949944992049
"122",-0.330770818349826,0.0218046192455975
"123",-0.314131126577205,0.0562770824027703
"124",-0.307369788930918,-0.00602582041151773
"125",-0.355292983773015,0.00286324280069426
"126",-0.351289305917955,-0.0285475338509504
"127",-0.403665616727192,-0.040217777300602
"128",-0.390340122416373,-0.0196602591146263
"129",-0.394470338870116,-0.0517451595995516
"130",-0.406372890391175,-0.0270694418651752
"131",-0.389934329435462,-0.0290943633024922
"132",-0.368071614305168,-0.00694401224722948
"133",-0.416863879415273,0.0178441450106838
"134",-0.382581060000905,-0.0594203389079036
"135",-0.354850170340596,-0.0519643198306102
"136",-0.340496993240537,0.0196669776626896
"137",-0.341859691449494,0.0287284190033569
"138",-0.270643060364339,0.000335284034835515
"139",-0.291025977175977,0.0713047276818474
"140",-0.239101731802347,0.0831246496857345
"141",-0.229440055713837,0.0796727870123737
"142",-0.233852780050109,0.0904355789966654
"143",-0.21258431640883,0.0974893533937399
"144",-0.22365557006486,0.108646862167615
"145",-0.173770227871272,0.110484854670485
"146",-0.180576926964733,0.111015239548807
"147",-0.212402975192413,0.135485580926635
"148",-0.220592308846712,0.090886541251493
"149",-0.246576583738897,0.084264026476886
"150",-0.240909493708235,0.098303389362811
"151",-0.24119662144167,0.0532105919431527
"152",-0.297403113856389,0.0238817603159811
"153",-0.266172195950371,0.0379750828882579
"154",-0.320134182775373,0.0438350946206451
"155",-0.285232554561789,0.00717664894060927
"156",-0.303317826144609,0.0118940494946198
"157",-0.291956129708568,-0.00744215451147838
"158",-0.31297108794087,0.0233064100206756
"159",-0.26252275116702,0.0275620148019639
"160",-0.267328256920553,-0.00607883193814685
"161",-0.254461868464418,0.0511201745008666
"162",-0.202557582300281,0.0845389520389926
"163",-0.213536385851158,0.108647583164095
"164",-0.192032446400758,0.0696107554551636
"165",-0.19863616080524,0.117925854618178
"166",-0.158106179992975,0.0830268905052065
"167",-0.167576162634795,0.132494292204713
"168",-0.160480567100252,0.158812672355035
"169",-0.169035537160348,0.158189479491022
"170",-0.111751420559163,0.146968449698587
"171",-0.129271062287578,0.14934420839051
"172",-0.15491714858145,0.171134271486836
"173",-0.146875677991004,0.177717282958593
"174",-0.147635809272418,0.167212430605222
"175",-0.171521467315195,0.175808442631469
"176",-0.132953784530628,0.135614143577212
"177",-0.126591101157796,0.16908532522903
"178",-0.13813874854431,0.187241361223091
"179",-0.165715176558572,0.186493011504796
"180",-0.143437560779989,0.172507233033957
"181",-0.152590842017348,0.174523431592769
"182",-0.194412791917598,0.132495206249841
"183",-0.14471234974962,0.170562130748888
"184",-0.131895183719643,0.198613325691395
"185",-0.156037900991612,0.1811442199446
"186",-0.0873968387789138,0.214513619303957
"187",-0.0767219423374594,0.249930420838763
"188",-0.0588246733199608,0.242101775806394
"189",-0.0446268025750416,0.226005478267258
"190",-0.0631493244866803,0.237039952020569
"191",-0.0623807296150342,0.251334878366109
"192",-0.034822567381045,0.283491154025551
"193",-0.0428742826214167,0.273951399808302
"194",-0.053921877785048,0.258062092870907
"195",-0.0985567503260873,0.275735141569483
"196",-0.0302912423525051,0.272420886572558
"197",-0.0455985334318475,0.248096403753673
"198",-0.0593257461193166,0.236386484544634
"199",-0.0403733796104656,0.24581140495688
"200",-0.0816723282890841,0.206042220525195
"201",-0.0771731717287886,0.213757520033334
"202",-0.0919949285210438,0.204527717857201
"203",-0.0867022394344981,0.239102959566195
"204",-0.0947423849440248,0.228257845191847
"205",-0.100649766636658,0.266157638942591
"206",-0.0576574509670418,0.225039010690752
"207",-0.0543342968520493,0.24074889142506
"208",-0.0688004537167016,0.248744291707482
"209",-0.0873535322274645,0.25736725628887
"210",-0.0628336949636045,0.268576789596897
"211",-0.045119339566366,0.291488825826602
